"PPID","Gender","Race","RaceMarg","Intervention","RecitationC","CoursePointTotal","TookSpringClass"
"330","M","White","NonMarg","VAffirm","B",250,1
"331","M","White","NonMarg","VAffirm","B",237,1
"333","F","Oth","NonMarg","VAffirm","F",191,1
"334","M","White","NonMarg","VAffirm","L",292,1
"339","F","White","NonMarg","VAffirm","M",172,1
"342","F","Latino","Marg","VAffirm","L",98,0
"343","F","White","NonMarg","Control","L",252,1
"346","F","White","NonMarg","VAffirm","N",207,1
"347","M","Multi","NonMarg","Control","O",238,1
"350","F","Asian","NonMarg","Control","L",250,1
"351","F","Multi","NonMarg","Control","G",164,0
"352","F","Asian","NonMarg","Control","I",215,1
"353","F","Asian","NonMarg","VAffirm","C",83,0
"354","M","Asian","NonMarg","VAffirm","A",204,1
"356","F","White","NonMarg","VAffirm","A",242.5,1
"359","F","Multi","NonMarg","Control","M",277,1
"360","M","Multi","NonMarg","VAffirm","H",206,1
"361","F","Multi","Marg","VAffirm","L",232,1
"362","F","Asian","NonMarg","VAffirm","I",225,1
"363","F","Asian","NonMarg","VAffirm","M",202,1
"365","F","White","NonMarg","Control","C",268,1
"366","F","Asian","NonMarg","Control","C",230,1
"367","F","Multi","NonMarg","Control","H",206,1
"368","F",NA,"NonMarg","Control","D",248,1
"369","F","White","NonMarg","Control","N",268,1
"370","F","White","NonMarg","Control","K",122,0
"371","F","Latino","Marg","VAffirm","B",188.5,1
"372","F","Multi","NonMarg","VAffirm","M",268,1
"376","M","White","NonMarg","Control","K",181,0
"378","F","Multi","Marg","VAffirm","F",220,1
"379","F","White","NonMarg","Control","D",281,1
"381","F","Multi","Marg","VAffirm","M",156,0
"382","F",NA,"NonMarg","Control","D",227,0
"385","M","White","NonMarg","VAffirm","L",236,1
"388","F","Asian","NonMarg","Control","G",195,1
"391","F","Multi","NonMarg","VAffirm","J",224,1
"392","F","White","NonMarg","VAffirm","M",205,1
"394","F","Asian","NonMarg","VAffirm","A",238,1
"396","M","Asian","NonMarg","Control","M",238,1
"397","F","Asian","NonMarg","VAffirm","H",254,1
"398","F","White","NonMarg","VAffirm","I",220,1
"399","F","White","NonMarg","VAffirm","O",166,1
"402","M","Asian","NonMarg","Control","F",191,0
"403","M","Multi","NonMarg","Control","L",240,1
"404","F","Black","Marg","VAffirm","K",215,1
"405","F","Multi","Marg","VAffirm","P",169,1
"409","M","Asian","NonMarg","Control","I",214,1
"410","M","Multi","Marg","Control","J",255,1
"412","F","Asian","NonMarg","Control","L",272,1
"413","Oth","White","NonMarg","VAffirm","N",203,1
"419","M","Multi","NonMarg","VAffirm","C",253,1
"421","F","White","NonMarg","Control","E",267,1
"423","F","White","NonMarg","VAffirm","A",226,1
"428","M","Oth","NonMarg","VAffirm","J",245,1
"429","F","White","NonMarg","Control","E",156,1
"433","M","Latino","Marg","VAffirm","N",233,1
"439","F","Asian","NonMarg","Control","L",184,0
"442","F","Latino","Marg","VAffirm","K",127.5,0
"443","F","Multi","NonMarg","VAffirm","M",201,0
"445","F","White","NonMarg","VAffirm","H",254,1
"447","F","White","NonMarg","Control","G",110,0
"448","F","Asian","NonMarg","Control","J",249,1
"449","F","Asian","NonMarg","Control","O",191,1
"450","F","White","NonMarg","Control","A",260,1
"451","F","White","NonMarg","VAffirm","E",203,1
"453","F","White","NonMarg","VAffirm","N",209,1
"454","F","Multi","Marg","VAffirm","L",193.5,1
"455","F","White","NonMarg","VAffirm","C",234,1
"456","F","Multi","NonMarg","VAffirm","F",269,1
"457","M","White","NonMarg","Control","P",276,1
"458","F",NA,"NonMarg","VAffirm","D",230,1
"459","M","White","NonMarg","Control","N",197,1
"460","M","White","NonMarg","VAffirm","B",257,1
"461","F","White","NonMarg","VAffirm","L",195,1
"462","F","Asian","NonMarg","Control","E",111,0
"463","F","Asian","NonMarg","Control","D",168,0
"465","F","Asian","NonMarg","Control","K",206,1
"466","M","Asian","NonMarg","VAffirm","B",249,1
"467","F","Asian","NonMarg","VAffirm","C",282,1
"468","M","White","NonMarg","VAffirm","J",239.5,1
"471","F","White","NonMarg","VAffirm","L",227,1
"472","F","Asian","NonMarg","Control","N",269,1
"473","M","Oth","NonMarg","VAffirm","A",276,1
"477","F","Multi","Marg","VAffirm","G",220,1
"479","M","Multi","Marg","Control","D",218,1
"481","M","Multi","NonMarg","VAffirm","B",155,0
"484","M","Asian","NonMarg","Control","A",NA,0
"486","F","Latino","Marg","VAffirm","G",197,1
"488","M","Latino","Marg","Control","F",NA,0
"491","F","White","NonMarg","Control","L",277,1
"492","F",NA,"NonMarg","Control","C",231,1
"493","F","Asian","NonMarg","VAffirm","H",256,1
"496","F","White","NonMarg","Control","O",227,0
"497","F","Black","Marg","Control","G",220,1
"498","F","Asian","NonMarg","Control","I",257,1
"500","F","White","NonMarg","VAffirm","E",262,1
"504","F","Asian","NonMarg","Control","A",218,0
"506","F","White","NonMarg","VAffirm","J",167,0
"507","F","Latino","Marg","Control","M",264,1
"508","F","White","NonMarg","Control","G",171.5,1
"509","F","Black","Marg","VAffirm","H",210,1
"510","F","Black","Marg","Control","C",125,0
"511","F","Black","Marg","Control","I",167,1
"516","F","Asian","NonMarg","VAffirm","D",211,1
"519","M","Asian","NonMarg","VAffirm","C",271,0
"521","F","Asian","NonMarg","Control","C",222,1
"522","F","Multi","Marg","Control","B",100,0
"523","M","White","NonMarg","Control","K",164,0
"524","F","Multi","NonMarg","VAffirm","A",138.5,0
"525","M","White","NonMarg","Control","E",267.5,1
"530","M","Multi","Marg","Control","F",162.5,0
"533","M","Asian","NonMarg","VAffirm","G",219.5,1
"534","M","Asian","NonMarg","Control","M",274,1
"537","M","Asian","NonMarg","VAffirm","N",266,1
"540","F","Multi","Marg","Control","M",247,0
"543","F","Asian","NonMarg","VAffirm","H",295,1
"546","F","Asian","NonMarg","Control","L",216,1
"547","F","White","NonMarg","VAffirm","L",263,1
"548","F","Asian","NonMarg","VAffirm","D",238,1
"549","M","Oth","NonMarg","Control","L",290,1
"550","M","White","NonMarg","VAffirm","F",270,1
"552","M","Multi","Marg","Control","B",255,1
